,title,category
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",general
1,Ok lar... Joking wif u oni...,general
2,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,general
3,U dun say so early hor... U c already then say...,general
4,"Nah I don't think he goes to usf, he lives around here though",general
5,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, Â£1.50 to rcv",general
6,Even my brother is not like to speak with me. They treat me like aids patent.,general
7,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,general
8,WINNER!! As a valued network customer you have been selected to receivea Â£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,general
9,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,general
10,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",general
11,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",general
12,"URGENT! You have won a 1 week FREE membership in our Â£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",general
13,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,general
14,I HAVE A DATE ON SUNDAY WITH WILL!!,general
15,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",general
16,Oh k...i'm watching here:),general
17,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,general
18,Fine if thatÂ’s the way u feel. ThatÂ’s the way its gota b,general
19,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ãº1.20 POBOXox36504W45WQ 16+",general
20,Is that seriously how you spell his name?,general
21,Iâ€˜m going to try for 2 months ha ha only joking,general
22,So Ã¼ pay first lar... Then when is da stock comin...,general
23,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,general
24,Ffffffffff. Alright no way I can meet up with you sooner?,general
25,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,general
26,Lol your always so convincing.,general
27,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,general
28,"I'm back &amp; we're packing the car now, I'll let you know if there's room",general
29,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,general
30,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",general
31,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,general
32,K tell me anything about you.,general
33,For fear of fainting with the of all that housework you just did? Quick have a cuppa,general
